40960 4096 0 0 4 16 0.000706 0.000000 0.000923 0.000745 0.000011 0.007407 0.000792 0.000000 0.001140 0.000873 0.000018 0.000877
81920 8192 0 0 4 16 0.001484 0.000000 0.001487 0.001481 0.000009 0.001994 0.001559 0.000000 0.001913 0.001803 0.000036 0.001806
163840 16384 0 0 4 16 0.003049 0.000000 0.003054 0.003094 0.000010 0.003526 0.003399 0.000000 0.003847 0.003720 0.000072 0.003725
327680 32768 0 0 4 16 0.006876 0.000000 0.006880 0.006611 0.000009 0.007130 0.006513 0.000000 0.007282 0.008034 0.000145 0.008040
655360 65536 0 0 4 16 0.012986 0.000000 0.012990 0.013321 0.000010 0.013877 0.013577 0.000000 0.014442 0.015903 0.000289 0.015907
1310720 131072 0 0 4 16 0.027423 0.000000 0.027429 0.027768 0.009828 0.028068 0.028024 0.000000 0.029223 0.032985 0.000581 0.032989
2621440 262144 0 0 4 16 0.057127 0.000000 0.057151 0.057135 0.038675 0.057428 0.057818 0.000000 0.059852 0.067996 0.001175 0.068004
5242880 524288 0 0 4 16 0.117430 0.000000 0.117471 0.115810 0.096194 0.116165 0.118261 0.000000 0.121609 0.139311 0.002329 0.139319
10485760 1048576 0 0 4 16 0.236300 0.000000 0.236366 0.236964 0.218855 0.237391 0.240528 0.000000 0.246459 0.277203 0.004665 0.277212
20971520 2097152 0 0 4 16 0.484430 0.000000 0.484559 0.484537 0.468168 0.485158 0.486023 0.000000 0.497140 0.570785 0.009604 0.570795
41943040 4194304 0 0 4 16 0.996996 0.000000 0.997241 0.997027 0.979181 0.998020 0.999643 0.000000 1.021722 1.172167 0.019545 1.172182
83886080 8388608 0 0 4 16 2.050383 0.000000 2.050850 2.051924 2.033177 2.053736 2.055430 0.000000 2.098512 2.403396 0.039437 2.403414
167772160 16777216 0 0 4 16 4.210367 0.000000 4.211277 4.213787 4.194532 4.217126 4.220972 0.000000 4.306475 4.920003 0.079054 4.920022
335544320 33554432 0 0 4 16 8.650361 0.000000 8.652161 8.651086 8.632829 8.657673 8.665225 0.000000 8.835591 10.066926 0.158089 10.068736
671088640 67108864 0 0 4 16 17.735254 0.000000 17.738824 17.744679 17.724577 17.756694 17.780104 0.000000 18.119171 20.586679 0.316463 20.590254
1342177280 134217728 0 0 4 16 36.368581 0.000000 36.375748 36.383715 36.364465 36.407044 36.455372 0.000000 37.132406 42.066095 0.633280 42.073288
2684354560 268435456 0 0 4 16 74.522000 0.000000 74.536422 74.563641 74.547492 74.609654 74.714178 0.000000 76.067555 85.921732 1.266408 85.936132
5368709120 536870912 0 0 4 16 152.625128 0.000000 152.654232 152.727183 152.710672 152.819252 153.010900 0.000000 155.716845 175.440311 2.533173 175.469719
10737418240 1073741824 0 0 4 16 312.429436 0.000000 312.487571 312.619957 312.600342 312.802449 313.205635 0.000000 318.617973 358.055615 5.066055 358.114046
21474836480 2147483648 0 0 4 16 639.201638 0.000000 639.318162 639.591730 639.571989 639.957557 640.719302 0.000000 651.538244 730.496713 10.133366 730.613112
