40960 4096 0 0 4 5 0.000961 0.000857 0.013017 39.823127 8 3 224 94834173 65416045 33820706 33916129 3469621 20433 4828481 1274649 773018 345277
81920 8192 0 0 4 5 0.001973 0.001899 0.002390 28.722284 8 3 225 66340195 52985103 52403769 4740934 1348588 16269 2991710 1353922 1084897 949137
163840 16384 0 0 4 5 0.003829 0.003799 0.004297 30.633182 8 2 227 71322432 53429947 56496814 5428317 1577696 15952 3476698 1325537 972639 633856
327680 32768 0 0 4 5 0.007680 0.007746 0.008241 34.589256 8 3 230 82351304 64137996 64927220 6640988 1752837 20130 4465543 1174678 681401 297739
655360 65536 0 0 4 5 0.015302 0.015602 0.016102 42.221000 8 5 238 100443073 57163693 45869724 34159452 4772785 28686 2989905 1310026 909706 589934
1310720 131072 0 0 4 5 0.030512 0.031179 0.031695 57.355825 8 3 254 109962174 70951797 46236547 56170200 8349557 34825 20043833 1712176 1039943 297328
2621440 262144 0 0 4 5 0.061045 0.062395 0.062942 87.925436 7 2 286 196043048 103556313 54994653 102473444 15089964 38463 38739783 2060183 1072348 715461
5242880 524288 0 0 4 5 0.122534 0.110019 0.126001 154.885664 10 6 348 370818444 197414217 77854711 165537691 25973181 17545 87235398 1654384 938843 598740
10485760 1048576 0 0 4 5 0.244062 0.237600 0.250655 276.718937 8 3 476 662981408 328108219 105364059 364034777 54817960 25498 169797771 1786175 1235685 874097
20971520 2097152 0 0 4 5 0.487692 0.484372 0.500372 520.066071 10 1 732 1246930185 598555357 160551370 704979170 106826885 20730 347453657 1966247 1000248 623846
41943040 4194304 0 0 4 5 0.974535 0.998199 0.999445 1000.394151 8 4 1244 2395501012 1119523345 275716186 1398070570 211829810 35702 710360237 2372816 1011147 447992
83886080 8388608 0 0 4 5 1.944817 1.980134 1.994385 1975.028268 12 1 2268 4696824459 2179268211 493722611 2785491087 422715358 34246 1426656579 3107301 1288942 862911
167772160 16777216 0 0 4 5 3.911522 4.006849 4.010478 3934.072597 13 4 4318 9392550251 4356303454 1109505375 5552339735 842328798 39333 2853043317 4608663 1151687 522529
335544320 33554432 0 0 4 5 7.888553 8.079296 8.085761 7905.951518 16 11 8414 18969267625 8862678807 2114467537 11115369972 1684280735 51349 5703827500 7280292 964128 372293
671088640 67108864 0 0 4 5 15.634488 16.016068 16.027542 15642.829369 32 5 16606 37533254890 17331151923 3962052368 22199536577 3365736685 59078 11424387633 13144429 1299500 547807
1342177280 134217728 0 0 4 5 31.390220 32.153274 32.174140 31378.470649 58 1 32989 75288177567 34903892369 8768245166 44407073837 6732121087 87825 22852655631 24506552 1506629 623552
2684354560 268435456 0 0 4 5 63.262738 64.787310 64.825931 63207.267531 96 14 65756 151660906207 70887684954 17916037173 88894819884 13474095013 218913 45713221868 48237920 2396064 1316687
5368709120 536870912 0 0 4 5 125.975126 129.022267 129.096217 125842.156755 209 6 131294 301953644429 140474516454 29829861417 177715052448 26937766461 294904 91420012818 92290829 2486498 798724
10737418240 1073741824 0 0 4 5 250.174962 256.274254 256.419877 249882.969804 320 7 262364 599573434696 276608831190 57550611068 355445542074 53895918031 675922 182866579977 183738427 3971649 1180721
21474836480 2147483648 0 0 4 5 501.857534 514.059412 514.341818 501189.600891 970 9 524511 1202581668607 556702426066 122285555353 710855245871 107767754547 1313418 365698800125 364068541 6727414 1762047
42949672960 4294967296 0 0 4 5 1010.597177 1035.005609 1035.575199 1009327.586408 1614 8 1048798 2421808766434 1130100449784 248746144906 1421790685496 215561931298 2422978 731442448384 727516811 13007563 3427160
85899345920 8589934592 0 0 4 5 2007.797482 2056.607638 2057.737580 2005043.872373 3809 14 2097372 4811011370988 2227724169024 555215542342 2843447489073 431107910433 4978598 1462868253491 1447410175 20400863 4723985
171798691840 17179869184 0 0 4 5 4639.772987 0.000000 4642.333478 4087388.208046 450906 2240 7696122 9781803637793 4589918205648 1210990428182 5728804614314 869412763762 94723836 2935313610632 3382870634 245858407 47450655
343597383680 34359738368 0 0 4 5 26550.427558 0.000000 26555.209725 9145520.828592 10380925 90604 82581435 21176742051400 10402851580817 3658636873469 12123633194219 1854734036468 2149454510 6015889436393 12326198185 4193003293 215695768
