40960 4096 0 0 4 16 0.001188 0.000796 0.089953
81920 8192 0 0 4 16 0.001887 0.001318 0.032012
163840 16384 0 0 4 16 0.003501 0.002676 0.039968
327680 32768 0 0 4 16 0.006824 0.005452 0.067844
655360 65536 0 0 4 16 0.013501 0.011200 0.076002
1310720 131072 0 0 4 16 0.027418 0.022816 0.083960
2621440 262144 0 0 4 16 0.056014 0.046407 0.127976
5242880 524288 0 0 4 16 0.114969 0.095623 0.118307
10485760 1048576 0 0 4 16 0.235969 0.227481 0.241725
20971520 2097152 0 0 4 16 0.485707 0.471688 0.496296
41943040 4194304 0 0 4 16 0.998603 0.998768 1.019372
83886080 8388608 0 0 4 16 2.053446 2.072515 2.094060
167772160 16777216 0 0 4 16 4.218926 4.283409 4.299570
335544320 33554432 0 0 4 16 8.654456 8.788912 8.814815
671088640 67108864 0 0 4 16 17.762714 18.060815 18.082330
1342177280 134217728 0 0 4 16 36.415088 37.025455 37.053718
2684354560 268435456 0 0 4 16 74.621002 75.856375 75.897263
5368709120 536870912 0 0 4 16 152.916388 155.409467 155.468937
10737418240 1073741824 0 0 4 16 313.058349 318.061053 318.162540
21474836480 2147483648 0 0 4 16 640.432456 650.462897 650.637502
