40960 4096 0 0 4 5 0.001147 0.000022 0.001227 8.377682 6 2 202 10344477 17136130 9547580 4368339 828813 12118 <not L1-dcache-loads counted> <not
81920 8192 0 0 4 5 0.002362 0.000045 0.002449 9.660942 5 1 203 10268049 16681897 15054019 6364669 1139952 10126 8730521 <not L1-dcache-load-misses counted>
163840 16384 0 0 4 5 0.004717 0.000089 0.004805 12.004940 5 1 205 9688434 16420522 15880667 10386011 1768849 8509 11363620 113336 <not LLC-loads
327680 32768 0 0 4 5 0.009369 0.000178 0.009456 16.633813 5 1 208 9119273 16140715 8165748 16614101 3038424 7309 16203534 15175 <not LLC-loads
655360 65536 0 0 4 5 0.018680 0.000355 0.018766 25.949615 5 2 216 54795411 15902268 7766593 16216619 3769439 5246 25268207 32852 5424 7604
1310720 131072 0 0 4 5 0.037270 0.000711 0.037340 44.504620 5 2 232 102682900 67534986 36522154 58151039 9357916 11989 42314039 34603 348 139
2621440 262144 0 0 4 5 0.074217 0.001421 0.074303 81.266974 3 4 265 190040111 108134907 34398518 117988457 19193191 10619 78388403 76020 3498 634
5242880 524288 0 0 4 5 0.149086 0.002899 0.149173 156.237718 5 1 329 374407444 196276453 75440184 247949873 37795223 8208 143960280 166630 9937 2453
10485760 1048576 0 0 4 5 0.297860 0.005786 0.297935 302.600761 5 3 456 725897853 361180308 64331513 502731243 78146227 9448 286344937 327863 17783 2675
20971520 2097152 0 0 4 5 0.595845 0.011470 0.595928 600.127296 4 5 712 1439677474 701998250 136623295 1011990055 159657459 8488 585520839 674162 31566 725
41943040 4194304 0 0 4 5 1.191822 0.023085 1.191904 1197.219755 4 3 1223 2871952690 1405381886 289110584 2281601446 362415511 10345 1179132858 1158775 29620 3366
83886080 8388608 0 0 4 5 2.377986 0.046110 2.378074 2382.189923 9 2 2247 5715821105 2725523643 564289045 4020107846 634213121 16964 2359697318 2775745 129524 8543
167772160 16777216 0 0 4 5 4.778871 0.092559 4.778959 4779.611130 9 2 4296 11466223972 5507152697 1061561912 8240056234 1292171227 16630 4685629815 5286350 223149 128673
335544320 33554432 0 0 4 5 9.597276 0.185067 9.597356 9591.663116 16 1 8390 23003843859 11123954478 2298743783 16546753809 2588308424 37540 9317359092 10419654 405457 284563
671088640 67108864 0 0 4 5 19.337204 0.370141 19.337289 19318.374976 29 3 16582 46350654636 22552836505 5415910082 33061606517 5177984582 35732 18682333175 21068226 876750 580223
1342177280 134217728 0 0 4 5 38.383760 0.739618 38.383833 38338.893934 51 2 32965 91988676416 44391135763 10388683232 66177733496 10359995479 49321 37366319715 41955065 1732801 1130311
2684354560 268435456 0 0 4 5 76.702948 1.478912 76.703025 76605.913078 114 10 65735 183794762786 88604421495 19809019275 132322925037 20708383580 148882 74699023019 83668924 3333956 2193635
5368709120 536870912 0 0 4 5 153.679687 2.961466 153.679773 153478.505048 197 7 131271 368254739798 177866647795 36039762259 264547007114 41420707315 248462 149393226585 168024062 6640195 4557998
10737418240 1073741824 0 0 4 5 309.185241 5.911201 309.185322 308769.766064 390 7 262342 740845074511 360093208727 69543523886 529172291316 82833977062 596576 298777992600 334958159 13100964 8775073
